Date,TGMV,plan
2022-01-01,20632219.23,20632219.23
2022-01-02,32331348.27,32331348.27
2022-01-03,42647687.75,42647687.75
2022-01-04,42938990.62,42938990.62
2022-01-05,37846637.43,37846637.43
2022-01-06,38145533.38,38145533.38
2022-01-07,33512773.75,33512773.75
2022-01-08,28990105.45,28990105.45
2022-01-09,29350816.2,29350816.2
2022-01-10,34793856.73,34793856.73
2022-01-11,34223822.49,34223822.49
2022-01-12,33789178.25,33789178.25
2022-01-13,33914344.69,33914344.69
2022-01-14,33591710.25,33591710.25
2022-01-15,31102131.19,31102131.19
2022-01-16,32641723.08,32641723.08
2022-01-17,36331077.07,36331077.07
2022-01-18,36997523.24,36997523.24
2022-01-19,35648314.63,35648314.63
2022-01-20,32804361.3,32804361.3
2022-01-21,31406765.18,31406765.18
2022-01-22,28392765.76,28392765.76
2022-01-23,29918823.81,29918823.81
2022-01-24,33940140.67,33940140.67
2022-01-25,33450683.37,33450683.37
2022-01-26,34305087.26,34305087.26
2022-01-27,34060186.38,34060186.38
2022-01-28,32326804.08,32326804.08
2022-01-29,29607110.38,29607110.38
2022-01-30,29928730.4,29928730.4
2022-01-31,35976392.64,35976392.64
2022-02-01,38407899.71,38407899.71
2022-02-02,37929560.14,37929560.14
2022-02-03,36330774.97,36330774.97
2022-02-04,33349231.23,33349231.23
2022-02-05,31115806.96,31115806.96
2022-02-06,33599223.18,33599223.18
2022-02-07,40631776.71,40631776.71
2022-02-08,41794735.66,41794735.66
2022-02-09,42696335.55,42696335.55
2022-02-10,43029795.05,43029795.05
2022-02-11,39692036.5,39692036.5
2022-02-12,35384234.25,35384234.25
2022-02-13,34152010.09,34152010.09
2022-02-14,35958230.96,35958230.96
2022-02-15,40703471.79,40703471.79
2022-02-16,41788030.02,41788030.02
2022-02-17,38420431.56,38420431.56
2022-02-18,33911719.02,33911719.02
2022-02-19,29697643.2,29697643.2
2022-02-20,31387935.29,31387935.29
2022-02-21,37358862.71,37358862.71
2022-02-22,38200392.68,38200392.68
2022-02-23,35459509.13,35459509.13
2022-02-24,33424731.8,33424731.8
2022-02-25,30420138.83,30420138.83
2022-02-26,28957032.01,28957032.01
2022-02-27,30379109.92,30379109.92
2022-02-28,36148019.38,36148019.38
2022-03-01,37886902.09,37886902.09
2022-03-02,37185800.99,37185800.99
2022-03-03,36360515.37,36360515.37
2022-03-04,32501487.94,32501487.94
2022-03-05,30024138.54,30024138.54
2022-03-06,30333944.75,30333944.75
2022-03-07,36171165.83,36171165.83
2022-03-08,34564257.13,34564257.13
2022-03-09,36640724.94,36640724.94
2022-03-10,35522448.83,35522448.83
2022-03-11,31816022.39,31816022.39
2022-03-12,29493013.22,29493013.22
2022-03-13,30763625.6,30763625.6
2022-03-14,40378128.17,40378128.17
2022-03-15,39649547.29,39649547.29
2022-03-16,43066041.04,43066041.04
2022-03-17,38075376.75,38075376.75
2022-03-18,34085112.21,34085112.21
2022-03-19,27665562.98,27665562.98
2022-03-20,27752080.87,27752080.87
2022-03-21,35871226.2,35871226.2
2022-03-22,35551572.85,35551572.85
2022-03-23,35720972.58,35720972.58
2022-03-24,33699707.03,33699707.03
2022-03-25,29912154.5,29912154.5
2022-03-26,27445027.09,27445027.09
2022-03-27,28884367.71,28884367.71
2022-03-28,33854235.69,33854235.69
2022-03-29,34344721.75,34344721.75
2022-03-30,36285816.78,36285816.78
2022-03-31,37418325.36,37418325.36
2022-04-01,34202175.66,34202175.66
2022-04-02,28387185.6,28387185.6
2022-04-03,31897619.1,31897619.1
2022-04-04,40426345.14,40426345.14
2022-04-05,38544510.76,38544510.76
2022-04-06,39579682.28,39579682.28
2022-04-07,36634663.75,36634663.75
2022-04-08,32013598.89,32013598.89
2022-04-09,29096466.12,29096466.12
2022-04-10,30955649.58,30955649.58
2022-04-11,38134239.81,38134239.81
2022-04-12,35154834.76,35154834.76
2022-04-13,35459293.46,35459293.46
2022-04-14,32395840.48,32395840.48
2022-04-15,28156245.39,28156245.39
2022-04-16,25646930.96,25646930.96
2022-04-17,27709827.74,27709827.74
2022-04-18,35341885.64,35341885.64
2022-04-19,37246811.85,37246811.85
2022-04-20,36760771.18,36760771.18
2022-04-21,36365466.94,36365466.94
2022-04-22,31723602.6,31723602.6
2022-04-23,27159492.78,27159492.78
2022-04-24,29178763.76,29178763.76
2022-04-25,35864584.77,35864584.77
2022-04-26,35976309.44,35976309.44
2022-04-27,34666654.18,34666654.18
2022-04-28,33644590.69,33644590.69
2022-04-29,32139251.99,32139251.99
2022-04-30,28214060.76,28214060.76
2022-05-01,33520365.57,33520365.57
2022-05-02,39713625.09,39713625.09
2022-05-03,41494646.37,41494646.37
2022-05-04,41768673.78,41768673.78
