Date,TGMV
01/01/2022,20632219.23
02/01/2022,32331348.27
03/01/2022,42647687.75
04/01/2022,42938990.62
05/01/2022,37846637.43
06/01/2022,38145533.38
07/01/2022,33512773.75
08/01/2022,28990105.45
09/01/2022,29350816.20
10/01/2022,34793856.73
11/01/2022,34223822.49
12/01/2022,33789178.25
13/01/2022,33914344.69
14/01/2022,33591710.25
15/01/2022,31102131.19
16/01/2022,32641723.08
17/01/2022,36331077.07
18/01/2022,36997523.24
19/01/2022,35648314.63
20/01/2022,32804361.30
21/01/2022,31406765.18
22/01/2022,28392765.76
23/01/2022,29918823.81
24/01/2022,33940140.67
25/01/2022,33450683.37
26/01/2022,34305087.26
27/01/2022,34060186.38
28/01/2022,32326804.08
29/01/2022,29607110.38
30/01/2022,29928730.40
31/01/2022,35976392.64
01/02/2022,38407899.71
02/02/2022,37929560.14
03/02/2022,36330774.97
04/02/2022,33349231.23
05/02/2022,31115806.96
06/02/2022,33599223.18
07/02/2022,40631776.71
08/02/2022,41794735.66
09/02/2022,42696335.55
10/02/2022,43029795.05
11/02/2022,39692036.50
12/02/2022,35384234.25
13/02/2022,34152010.09
14/02/2022,35958230.96
15/02/2022,40703471.79
16/02/2022,41788030.02
17/02/2022,38420431.56
18/02/2022,33911719.02
19/02/2022,29697643.20
20/02/2022,31387935.29
21/02/2022,37358862.71
22/02/2022,38200392.68
23/02/2022,35459509.13
24/02/2022,33424731.80
25/02/2022,30420138.83
26/02/2022,28957032.01
27/02/2022,30379109.92
28/02/2022,36148019.38
01/03/2022,37886902.09
02/03/2022,37185800.99
03/03/2022,36360515.37
04/03/2022,32501487.94
05/03/2022,30024138.54
06/03/2022,30333944.75
07/03/2022,36171165.83
08/03/2022,34564257.13
09/03/2022,36640724.94
10/03/2022,35522448.83
11/03/2022,31816022.39
12/03/2022,29493013.22
13/03/2022,30763625.60
14/03/2022,40378128.17
15/03/2022,39649547.29
16/03/2022,43066041.04
17/03/2022,38075376.75
18/03/2022,34085112.21
19/03/2022,27665562.98
20/03/2022,27752080.87
21/03/2022,35871226.20
22/03/2022,35551572.85
23/03/2022,35720972.58
24/03/2022,33699707.03
25/03/2022,29912154.50
26/03/2022,27445027.09
27/03/2022,28884367.71
28/03/2022,33854235.69
29/03/2022,34344721.75
30/03/2022,36285816.78
31/03/2022,37418325.36
01/04/2022,34202175.66
02/04/2022,28387185.60
03/04/2022,31897619.10
04/04/2022,40426345.14
05/04/2022,38544510.76
06/04/2022,39579682.28
07/04/2022,36634663.75
08/04/2022,32013598.89
09/04/2022,29096466.12
10/04/2022,30955649.58
11/04/2022,38134239.81
